tweet id;username;text;text_no_sw
1,46691E+18;zehdeabreu;O @LulaOficial esta ao vivo no Instagram na exibição de Marighella.;['lulaoficial', 'vivo', 'instagram', 'exibição', 'marighella']
1,46689E+18;zehdeabreu;Respeite o falecido! MARIGHELLA! https://t.co/t0SQq09jIc;['respeite', 'falecido', 'marighella', '']
1,45029E+18;zehdeabreu;Mônica Bergamo: Filme 'Marighella' será exibido em assentamento do MST com Wagner Moura, Bruno Gagliasso e José de Abreu https://t.co/X94cr5jBPe;['mônica', 'bergamo', 'filme', 'marighella', 'exibido', 'assentamento', 'mst', 'wagner', 'moura', 'bruno', 'gagliasso', 'josé', 'abreu', '']
1,45025E+18;zehdeabreu;Mônica Bergamo: Filme 'Marighella' será exibido em assentamento do MST na Bahia Wagner Moura, Bruno Gagliasso, José de Abreu https://t.co/X94cr5jBPe;['mônica', 'bergamo', 'filme', 'marighella', 'exibido', 'assentamento', 'mst', 'bahia', 'wagner', 'moura', 'bruno', 'gagliasso', 'josé', 'abreu', '']
1,45019E+18;zehdeabreu;Bora? Eu vou. #marighella_ofilme https://t.co/ebo0V4OJfQ;['bora', 'vou', 'marighellaofilme', '']
1,26069E+18;zehdeabreu;Só faltava Seu Jorge continuar bolsonarista depois de fazer Marighella. Acordem, meninos e meninas.;['faltava', 'jorge', 'continuar', 'bolsonarista', 'fazer', 'marighella', 'acordem', 'meninos', 'meninas']
1,11026E+18;zehdeabreu;Fazer Marighella fez bem ao Seu Jorge. https://t.co/Q1JW7LIxmP;['fazer', 'marighella', 'fez', 'bem', 'jorge', '']
1,21718E+18;patriciapillar;"???? ""Marighella"" não é caso isolado, Cultura está sob censura, diz Wagner Moura - Leonardo Sakamoto - UOL https://t.co/GGfUslygQg";['', 'marighella', 'caso', 'isolado', 'cultura', 'sob', 'censura', 'diz', 'wagner', 'moura', 'leonardo', 'sakamoto', 'uol', '']
1,16404E+18;patriciapillar;"Estas são as primeiras imagens de ""Marighella"", filme em que Wagner Moura estreia na direção. O longa chega aos cinemas brasileiros em 20 de novembro, Dia da Consciência Negra, após colher elogios pelos festivais de… https://t.co/bA475Se7xl";['primeiras', 'imagens', 'marighella', 'filme', 'wagner', 'moura', 'estreia', 'direção', 'longa', 'chega', 'cinemas', 'brasileiros', '20', 'novembro', 'dia', 'consciência', 'negra', 'após', 'colher', 'elogios', 'festivais', '']
1,33564E+18;gduvivier;Viva a Alice Adnet! Que nasceu no dia do Disney, do Marighella e da Lina Bo Bardi. ?? https://t.co/kaVEVi3w3O;['viva', 'alice', 'adnet', 'nasceu', 'dia', 'disney', 'marighella', 'lina', 'bo', 'bardi', '']
1,17249E+18;leoni_a_jato;A censura econômica é uma forma menos óbvia de impor padrões ideológicos, mas não deixa de ser censura, é proibida pela Constituição e não tem nada que a justifique. https://t.co/cGjuhdG8q6;['censura', 'econômica', 'forma', 'menos', 'óbvia', 'impor', 'padrões', 'ideológicos', 'deixa', 'ser', 'censura', 'proibida', 'constituição', 'nada', 'justifique', '']
1,11288E+18;leoni_a_jato;@mauriciomusa @elpais_brasil O filme do Marighella não é publicidade oficial. Você ainda não entendeu a diferença? Mesmo? Não é tão difícil.;['mauriciomusa', 'elpaisbrasil', 'filme', 'marighella', 'publicidade', 'oficial', 'ainda', 'entendeu', 'diferença', 'tão', 'difícil']
1,09696E+18;marcelodedois;@karensam09 Depois de filmar e editar o filme vai pra corrigir a cor ... e fiz isso no mesmo lugar q estavam fazendo o Marighella e eu dei uma olhada numa cena ....;['karensam09', 'filmar', 'editar', 'filme', 'vai', 'pra', 'corrigir', 'cor', 'fiz', 'lugar', 'q', 'fazendo', 'marighella', 'dei', 'olhada', 'cena', '']
1,09695E+18;marcelodedois;Wagner Moura tirou onda em Berlin falando sobre a atual situação política social do Brasil .... falou bem, defendeu o filme e ainda gritou o nome de Marielle .... to louco pra ver o filme “Marighella” ... vi um pedaço quando fui colorir o meu filme e tava incrível;['wagner', 'moura', 'tirou', 'onda', 'berlin', 'falando', 'sobre', 'atual', 'situação', 'política', 'social', 'brasil', 'falou', 'bem', 'defendeu', 'filme', 'ainda', 'gritou', 'nome', 'marielle', 'to', 'louco', 'pra', 'ver', 'filme', 'marighella', 'vi', 'pedaço', 'colorir', 'filme', 'tava', 'incrível']
1,09244E+18;caetanoveloso;Vi entrevista de #WagnerMoura sobre o filme “Marighella”. Wagner é o estilo baiano com que me identifico. Texto completo no facebook: https://t.co/nZHJd2CngM | Assista ao vídeo completo no YouTube: https://t.co/uDMNnWxjCC https://t.co/ojhlcYViiV;['vi', 'entrevista', 'wagnermoura', 'sobre', 'filme', 'marighella', 'wagner', 'estilo', 'baiano', 'identifico', 'texto', 'completo', 'facebook', '']
1,49661E+18;cynaramenezes;"quero todas
https://t.co/LRJ82oxxhO";['quero', 'todas', '']
1,48957E+18;cynaramenezes;@felipeeec_ marighella está morto. saia do passado;['felipeeec', 'marighella', 'morto', 'saia', 'passado']
1,45309E+18;cynaramenezes;"""essa é minha terra, mas é sobretudo a terra de carlos marighella"", disse um emocionado wagner moura. “esse filme não é só sobre aqueles que resistiram na ditadura militar nos anos 60 e 70. esse filme é sobre aqueles que estão resistindo agora no brasil” https://t.co/ItPcztdMoP'";['terra', 'sobretudo', 'terra', 'carlos', 'marighella', 'disse', 'emocionado', 'wagner', 'moura', 'filme', 'sobre', 'resistiram', 'ditadura', 'militar', 'anos', '60', '70', 'filme', 'sobre', 'resistindo', 'agora', 'brasil', '']
1,45308E+18;cynaramenezes;"de volta pra casa: “esta é minha terra, mas é sobretudo a terra de carlos marighella.”
wagner moura estreia longa sobre o guerrilheiro em salvador e diz que é ""um filme sobre aqueles que resistem no brasil agora"".
por @manucaferreira, especial para o site
https://t.co/ItPcztdMoP";['volta', 'pra', 'casa', 'terra', 'sobretudo', 'terra', 'carlos', 'marighella', 'wagner', 'moura', 'estreia', 'longa', 'sobre', 'guerrilheiro', 'salvador', 'diz', 'filme', 'sobre', 'resistem', 'brasil', 'agora', 'manucaferreira', 'especial', 'site', '']
1,37738E+18;cynaramenezes;"sabem quem ajudou a disseminar mentiras, falsificações históricas sobre carlos marighella? bolsonaro? não. reinaldo azevedo
https://t.co/nXkTGE4u0x https://t.co/J63DrTMtgk";['sabem', 'ajudou', 'disseminar', 'mentiras', 'falsificações', 'históricas', 'sobre', 'carlos', 'marighella', 'bolsonaro', 'reinaldo', 'azevedo', '']
1,37738E+18;cynaramenezes;"carlinhos marighella: ""meu pai nunca atirou em alguém. na verdade, meu pai escreveu o mini-manual do guerrilheiro urbano, mas não tinha nenhuma experiência nem vocação ou admiração por atividades militares e castrenses"".
assistam!
https://t.co/Lbmkrfd4S7";['carlinhos', 'marighella', 'pai', 'nunca', 'atirou', 'alguém', 'verdade', 'pai', 'escreveu', 'minimanual', 'guerrilheiro', 'urbano', 'nenhuma', 'experiência', 'vocação', 'admiração', 'atividades', 'militares', 'castrenses', 'assistam', '']
1,37735E+18;cynaramenezes;"hoje vou entrevistar carlinhos marighella, filho do guerrilheiro, herói nacional, #CarlosMarighellaVive. 
antes, um bate-bola com @dridelorenzo e @renato_rovai. bora? a partir das 17h!
arte a partir de cartum do @crisvector ??
https://t.co/OaobGr6y89";['hoje', 'vou', 'entrevistar', 'carlinhos', 'marighella', 'filho', 'guerrilheiro', 'herói', 'nacional', 'carlosmarighellavive', 'antes', 'batebola', 'dridelorenzo', 'renatorovai', 'bora', 'partir', '17h', 'arte', 'partir', 'cartum', 'crisvector', '']
1,32887E+18;cynaramenezes;"minha conterrânea @mariamarighella (PT), atriz, ativista e, como o nome já diz, neta do guerrilheiro carlos marighella, foi eleita para a câmara de salvador. 
aqui, com carla charf, viúva de seu avô, cassado em 1948 do mandato de deputado federal que lhe foi concedido pelo povo https://t.co/cumHLPaba2";['conterrânea', 'mariamarighella', 'pt', 'atriz', 'ativista', 'nome', 'diz', 'neta', 'guerrilheiro', 'carlos', 'marighella', 'eleita', 'câmara', 'salvador', 'aqui', 'carla', 'charf', 'viúva', 'avô', 'cassado', '1948', 'mandato', 'deputado', 'federal', 'concedido', 'povo', '']
1,32736E+18;cynaramenezes;"entrando no ar o jornal da fórum com @mariomagalhaes_ sobre o filme marighella!
https://t.co/BwgpqU66fV";['entrando', 'ar', 'jornal', 'fórum', 'mariomagalhaes', 'sobre', 'filme', 'marighella', '']
1,32734E+18;cynaramenezes;hoje tem @mariomagalhaes_ falando da estreia de marighella, o filme. finalmente nos cinemas em abril! ? https://t.co/iEZ4rlf2hs;['hoje', 'mariomagalhaes', 'falando', 'estreia', 'marighella', 'filme', 'finalmente', 'cinemas', 'abril', '']
1,31934E+18;cynaramenezes;@FelipeGini4 @Medicina_CFM não sei a quem você se refere. getúlio era um personagem complexo, mas ditador sem sombra de dúvida, torturou marighella e mandou olga para os nazistas;['felipegini4', 'medicinacfm', 'sei', 'refere', 'getúlio', 'personagem', 'complexo', 'ditador', 'sombra', 'dúvida', 'torturou', 'marighella', 'mandou', 'olga', 'nazistas']
1,30409E+18;cynaramenezes;"muito bom o vídeo do peninha sobre carlos marighella
https://t.co/vi38wWDytK
cc @mariomagalhaes_";['bom', 'vídeo', 'peninha', 'sobre', 'carlos', 'marighella', '']
1,30192E+18;cynaramenezes;"carlos marighella foi perseguido a vida toda por ser comunista.
foi eleito deputado pelo PCB e o partido foi cassado.
proibiram o comunismo durante anos no brasil na ditadura militar.
adiantou o quê? marighella foi comunista até à morte. e o comunismo nunca deixou de existir";['carlos', 'marighella', 'perseguido', 'vida', 'toda', 'ser', 'comunista', 'eleito', 'deputado', 'pcb', 'partido', 'cassado', 'proibiram', 'comunismo', 'durante', 'anos', 'brasil', 'ditadura', 'militar', 'adiantou', 'quê', 'marighella', 'comunista', 'morte', 'comunismo', 'nunca', 'deixou', 'existir']
1,30162E+18;cynaramenezes;"hoje vamos ter @mariamarighella, neta de carlos marighella, e @anaprestes, neta de luiz carlos prestes, comentando as notícias comigo no jornal da fórum! duas legítimas representantes da nova geração de esquerda
https://t.co/goSfHIHhL0";['hoje', 'vamos', 'ter', 'mariamarighella', 'neta', 'carlos', 'marighella', 'anaprestes', 'neta', 'luiz', 'carlos', 'prestes', 'comentando', 'notícias', 'comigo', 'jornal', 'fórum', 'duas', 'legítimas', 'representantes', 'nova', 'geração', 'esquerda', '']
1,29655E+18;cynaramenezes;"hoje no jornal da fórum vamos debater a cultura do medo do bolsonarismo ao fazer um dossiê contra servidores, intelectuais e policiais antifascistas com @maria_fro, @mariamarighella (sim, neta do marighella!) e @proffernando, delegado antifascista. 18h! 
https://t.co/MadyY1CSsr";['hoje', 'jornal', 'fórum', 'vamos', 'debater', 'cultura', 'medo', 'bolsonarismo', 'fazer', 'dossiê', 'contra', 'servidores', 'intelectuais', 'policiais', 'antifascistas', 'mariafro', 'mariamarighella', 'sim', 'neta', 'marighella', 'proffernando', 'delegado', 'antifascista', '18h', '']
1,29187E+18;cynaramenezes;@viniciusdias76 te devolvo: é marighella, não mariguela;['viniciusdias76', 'devolvo', 'marighella', 'mariguela']
1,29187E+18;cynaramenezes;"nos 78 anos de caetano, ""um comunista"", a música que ele fez para seu conterrâneo carlos marighella.
""os comunistas guardavam sonhos
os comunistas! os comunistas!""
https://t.co/Vt1Cfwrk1d";['78', 'anos', 'caetano', 'comunista', 'música', 'fez', 'conterrâneo', 'carlos', 'marighella', 'comunistas', 'guardavam', 'sonhos', 'comunistas', 'comunistas', '']
1,28794E+18;cynaramenezes;"outro que atacava o rap e até justificou a prisão do emicida em 2012 em BH foi o atual baluarte da democracia reinaldo azevedo 
https://t.co/nXkTGE4u0x";['outro', 'atacava', 'rap', 'justificou', 'prisão', 'emicida', '2012', 'bh', 'atual', 'baluarte', 'democracia', 'reinaldo', 'azevedo', '']
1,27761E+18;cynaramenezes;o primeiro prefácio a gente não esquece... ainda mais para um gibi sobre o marighella ?? https://t.co/VwSN6KYGdl;['primeiro', 'prefácio', 'gente', 'esquece', 'ainda', 'gibi', 'sobre', 'marighella', '']
1,19287E+18;cynaramenezes;minha amiga bianca barbato e eu com o azulejo do marighella que comprei. não é lindo? ?? https://t.co/wqBR5ivbDs;['amiga', 'bianca', 'barbato', 'azulejo', 'marighella', 'comprei', 'lindo', '']
1,19208E+18;cynaramenezes;reta final da vaquinha para o gibi do marighella! já contribuiu? https://t.co/UMZtejF32l;['reta', 'final', 'vaquinha', 'gibi', 'marighella', 'contribuiu', '']
1,1845E+18;cynaramenezes;vocês já contribuíram para a HQ sobre o marighella? apoie e ganhe uma revista! https://t.co/VwdK615mze;['contribuíram', 'hq', 'sobre', 'marighella', 'apoie', 'ganhe', 'revista', '']
1,17614E+18;cynaramenezes;"falamos sobre a censura ao filme marighella e ao filme sobre chico no uruguai no ""reaça &amp; comuna"" da semana. mario rosa acha que só irá atrair publicidade para ""marighella"". de quê adianta, se as pessoas não poderão ver?
íntegra do programa aqui https://t.co/cVNixz3ca2 https://t.co/bBH89nU9x4";['falamos', 'sobre', 'censura', 'filme', 'marighella', 'filme', 'sobre', 'chico', 'uruguai', 'reaça', 'amp', 'comuna', 'semana', 'mario', 'rosa', 'acha', 'irá', 'atrair', 'publicidade', 'marighella', 'quê', 'adianta', 'pessoas', 'poderão', 'ver', 'íntegra', 'programa', 'aqui', '']
1,16597E+18;cynaramenezes;"getúlio vargas foi importante pelos direitos trabalhistas, mas foi um ditador que perseguiu comunistas tanto quanto os militares.
marighella foi preso e torturado sob getúlio e morto pelos militares.
olga foi presa e deportada para a alemanha nazista.
pagu foi presa e torturada";['getúlio', 'vargas', 'importante', 'direitos', 'trabalhistas', 'ditador', 'perseguiu', 'comunistas', 'tanto', 'quanto', 'militares', 'marighella', 'preso', 'torturado', 'sob', 'getúlio', 'morto', 'militares', 'olga', 'presa', 'deportada', 'alemanha', 'nazista', 'pagu', 'presa', 'torturada']
1,15948E+18;cynaramenezes;com ajuda de ustra, herói de bolsonaro, montou-se a farsa de que guarda-costas de marighella atiraram contra policiais, para justificar a morte de uma policial e um civil. em 1996, um policial que participou da ação confirmou: o guerrilheiro foi executado https://t.co/mc6E6ZgzoS';['ajuda', 'ustra', 'herói', 'bolsonaro', 'montouse', 'farsa', 'guardacostas', 'marighella', 'atiraram', 'contra', 'policiais', 'justificar', 'morte', 'policial', 'civil', '1996', 'policial', 'participou', 'ação', 'confirmou', 'guerrilheiro', 'executado', '']
1,15948E+18;cynaramenezes;"""assim que acabou a ditadura na argentina, eles prenderam os generais. no brasil, não houve isso. hoje qualquer general golpista continua comandando o exército. não dá pra ser tolerante com fascista, golpista e torturador"" https://t.co/mc6E6ZgzoS";['assim', 'acabou', 'ditadura', 'argentina', 'prenderam', 'generais', 'brasil', 'hoje', 'qualquer', 'general', 'golpista', 'continua', 'comandando', 'exército', 'dá', 'pra', 'ser', 'tolerante', 'fascista', 'golpista', 'torturador', '']
1,15948E+18;cynaramenezes;"carlinhos marighella, filho único do guerrilheiro: ""vejo a história se repetir em círculos; vejo o mesmo contexto pré-1964, com perseguição à esquerda e a democracia ameaçada"". por @AndreUzeda  https://t.co/mc6E6ZgzoS";['carlinhos', 'marighella', 'filho', 'único', 'guerrilheiro', 'vejo', 'história', 'repetir', 'círculos', 'vejo', 'contexto', 'pré1964', 'perseguição', 'esquerda', 'democracia', 'ameaçada', 'andreuzeda', '']
1,14645E+18;cynaramenezes;os parlamentares de esquerda devem usar os microfones para elogiar os GUERRILHEIROS HERÓIS que lutaram pela democracia no brasil. homenagear marighella na tribuna. defender a luta armada, os assaltos a banco, tudo que foi feito contra o terrorismo de estado que bolsonaro defende;['parlamentares', 'esquerda', 'devem', 'usar', 'microfones', 'elogiar', 'guerrilheiros', 'heróis', 'lutaram', 'democracia', 'brasil', 'homenagear', 'marighella', 'tribuna', 'defender', 'luta', 'armada', 'assaltos', 'banco', 'tudo', 'feito', 'contra', 'terrorismo', 'estado', 'bolsonaro', 'defende']
1,09916E+18;cynaramenezes;lindo marighella ?? https://t.co/stLeItcLSI;['lindo', 'marighella', '']
1,09691E+18;cynaramenezes;"""libera as armas!"" &gt;&gt;&gt;&gt; ""ain, marighella pegou em armas""";['libera', 'armas', 'gtgtgtgt', 'ain', 'marighella', 'pegou', 'armas']
1,09682E+18;cynaramenezes;"- ain, a esquerda é cheia de mimimi
- e você, o que acha do filme do marighella?
- mimimi mimimi mimimi";['', 'ain', 'esquerda', 'cheia', 'mimimi', 'acha', 'filme', 'marighella', 'mimimi', 'mimimi', 'mimimi']
1,09682E+18;cynaramenezes;"vocês lembram que o atual ~liberal~ reinaldo azevedo afirmou que as ""pessoas de bem"" tinham o ""dever"" de BOICOTAR o filme ""aquarius"" apenas por não concordar com a visão do filme? eu lembro. o que dirá sobre ""marighella"" nesta nova fase?";['lembram', 'atual', 'liberal', 'reinaldo', 'azevedo', 'afirmou', 'pessoas', 'bem', 'dever', 'boicotar', 'filme', 'aquarius', 'apenas', 'concordar', 'visão', 'filme', 'lembro', 'dirá', 'sobre', 'marighella', 'nesta', 'nova', 'fase']
1,09539E+18;cynaramenezes;gente, os reaças vão boicotar o filme do marighella? não! não é possível ?? https://t.co/IzCtsBmEru;['gente', 'reaças', 'vão', 'boicotar', 'filme', 'marighella', 'possível', '']
1,09539E+18;cynaramenezes;vivi para ver: reaça preocupado com escolha do ator para o filme do marighella. parecem desapontados porque seu jorge é mais escuro que o guerrilheiro. será que no fundo são fãs do grande herói do povo marigha? ??;['vivi', 'ver', 'reaça', 'preocupado', 'escolha', 'ator', 'filme', 'marighella', 'parecem', 'desapontados', 'porque', 'jorge', 'escuro', 'guerrilheiro', 'fundo', 'fãs', 'grande', 'herói', 'povo', 'marigha', '']
1,05521E+18;cynaramenezes;@edufreitasbr1 marighella nunca torturou ninguém. pelo contrário, foi torturado diversas vezes desde a juventude apenas por ser comunista. coisa que seu ídolo defende e fará com jovenzinhos como a ditadura que ele também defende fez;['edufreitasbr1', 'marighella', 'nunca', 'torturou', 'ninguém', 'contrário', 'torturado', 'diversas', 'vezes', 'desde', 'juventude', 'apenas', 'ser', 'comunista', 'coisa', 'ídolo', 'defende', 'fará', 'jovenzinhos', 'ditadura', 'defende', 'fez']
1,11818E+18;tatikmd;"em 2017 o MBL promoveu uma caçada ao jornalista Artur Rodrigues, da @folha, classificado como ""extrema-esquerda"" porque tinha uma foto com a biografia de marighella ao fundo. Rodrigues havia feito uma reportagem que desagradou o movimento. +";['2017', 'mbl', 'promoveu', 'caçada', 'jornalista', 'artur', 'rodrigues', 'folha', 'classificado', 'extremaesquerda', 'porque', 'foto', 'biografia', 'marighella', 'fundo', 'rodrigues', 'havia', 'feito', 'reportagem', 'desagradou', 'movimento', '']
1,46656E+18;hilde_angel;"É muito importante levar os fatos da ditadura  aos parlamentares. Alguns sequer os conhecem. Uma obra de denúncia tem que ser mto exibida. Em seu lançamento, o filme ""Zuzu Angel"" foi exibido no Senado. ""Marighella"" será aplaudido de pé, como foi ""Zuzu"". 
https://t.co/IEFR4I119H";['importante', 'levar', 'fatos', 'ditadura', 'parlamentares', 'alguns', 'sequer', 'conhecem', 'obra', 'denúncia', 'ser', 'mto', 'exibida', 'lançamento', 'filme', 'zuzu', 'angel', 'exibido', 'senado', 'marighella', 'aplaudido', 'pé', 'zuzu', '']
1,46431E+18;hilde_angel;"""Crítica"" é palavra antipática, porque pressupõe autoridade para julgar. Mas minha inquietação ao assistir ao filme Marighella, de q gostei mto, foi a mesma da crítica de Karla Monteiro: ""Por que aquele homem empurrou jovens tão jovens para o suicídio?"". 
 https://t.co/Tv0RUOIcNz";['crítica', 'palavra', 'antipática', 'porque', 'pressupõe', 'autoridade', 'julgar', 'inquietação', 'assistir', 'filme', 'marighella', 'q', 'gostei', 'mto', 'mesma', 'crítica', 'karla', 'monteiro', 'homem', 'empurrou', 'jovens', 'tão', 'jovens', 'suicídio', '']
1,45661E+18;hilde_angel;"São 52 anos da morte de Marighella, e o filme de Wagner Moura é um tapa na cara dos fascistas de hoje e de ontem. Marighella foi, além de um revolucionário, um escritor admirado por Sartre.
O diretor Wagner Moura levou às telas um personagem intenso, heroico, num belíssimo filme. https://t.co/uhVQcEqHc7";['52', 'anos', 'morte', 'marighella', 'filme', 'wagner', 'moura', 'tapa', 'cara', 'fascistas', 'hoje', 'ontem', 'marighella', 'além', 'revolucionário', 'escritor', 'admirado', 'sartre', 'diretor', 'wagner', 'moura', 'levou', 'telas', 'personagem', 'intenso', 'heroico', 'belíssimo', 'filme', '']
1,32407E+18;hilde_angel;4 /11 /1969. São 51 anos da morte de Marighela, e sua neta, Maria, reafirma compromisso com a memória do avô: “Marighella foi homem do povo. Eu reivindico sua lembrança. Sua luta por democracia e direitos vigora. Devemos imaginar um Brasil, promotor de liberdade e justiça social”;['4', '11', '1969', '51', 'anos', 'morte', 'marighela', 'neta', 'maria', 'reafirma', 'compromisso', 'memória', 'avô', 'marighella', 'homem', 'povo', 'reivindico', 'lembrança', 'luta', 'democracia', 'direitos', 'vigora', 'devemos', 'imaginar', 'brasil', 'promotor', 'liberdade', 'justiça', 'social', '']
1,12694E+18;hilde_angel;"Desde 1960 a distribuidora @ParisFilmes é prestigiada pelo público de cinema brasileiro. Será um vexame ela decepcioná-lo agora, depois de tamanha expectativa gerada em torno desse filme de  Wagner Moura, ""Marighella"". https://t.co/GKTsaswRps";['desde', '1960', 'distribuidora', 'parisfilmes', 'prestigiada', 'público', 'cinema', 'brasileiro', 'vexame', 'decepcionálo', 'agora', 'tamanha', 'expectativa', 'gerada', 'torno', 'desse', 'filme', 'wagner', 'moura', 'marighella', '']
